Wed 12 Apr 2023 05:41:28 INFO Epoch: 15 | Pretrain Loss: 68969.3756 | Regression Loss: 20049.8507 | Ranking Loss: 48919.5241 | Regression IC50 Loss: 46465.3344 | Regression K Loss: 20367.5012 | Ranking IC50 Loss: 36170.0229 | Ranking K Loss: 12749.5012 | Lr: 0.0010 | Time: 983.8762
Wed 12 Apr 2023 05:57:43 INFO Epoch: 16 | Pretrain Loss: 68453.4317 | Regression Loss: 19845.3178 | Ranking Loss: 48608.1132 | Regression IC50 Loss: 46015.9839 | Regression K Loss: 20135.0754 | Ranking IC50 Loss: 36072.9943 | Ranking K Loss: 12535.1189 | Lr: 0.0010 | Time: 975.4438
Wed 12 Apr 2023 06:13:58 INFO Epoch: 17 | Pretrain Loss: 67878.8558 | Regression Loss: 19564.7935 | Ranking Loss: 48314.0615 | Regression IC50 Loss: 45096.8009 | Regression K Loss: 20119.1775 | Ranking IC50 Loss: 35730.6876 | Ranking K Loss: 12583.3740 | Lr: 0.0010 | Time: 974.1635
Wed 12 Apr 2023 06:29:56 INFO Epoch: 18 | Pretrain Loss: 67364.9404 | Regression Loss: 19254.0800 | Ranking Loss: 48110.8596 | Regression IC50 Loss: 44437.5992 | Regression K Loss: 19742.6675 | Ranking IC50 Loss: 35463.9795 | Ranking K Loss: 12646.8800 | Lr: 0.0010 | Time: 958.2857
Wed 12 Apr 2023 06:48:01 INFO Epoch: 19 | Pretrain Loss: 66947.8485 | Regression Loss: 18942.2105 | Ranking Loss: 48005.6373 | Regression IC50 Loss: 43767.4787 | Regression K Loss: 19373.2228 | Ranking IC50 Loss: 35441.4580 | Ranking K Loss: 12564.1794 | Lr: 0.0010 | Time: 1084.9822
Wed 12 Apr 2023 07:06:16 INFO Epoch: 20 | Pretrain Loss: 66398.6595 | Regression Loss: 18553.7774 | Ranking Loss: 47844.8815 | Regression IC50 Loss: 42885.1126 | Regression K Loss: 18960.8120 | Ranking IC50 Loss: 35498.8256 | Ranking K Loss: 12346.0558 | Lr: 0.0010 | Time: 1095.0591
Wed 12 Apr 2023 07:22:08 INFO Epoch: 21 | Pretrain Loss: 66300.1455 | Regression Loss: 18665.0598 | Ranking Loss: 47635.0850 | Regression IC50 Loss: 43233.5374 | Regression K Loss: 18983.3285 | Ranking IC50 Loss: 35214.5151 | Ranking K Loss: 12420.5699 | Lr: 0.0010 | Time: 951.7524
Wed 12 Apr 2023 07:38:11 INFO Epoch: 22 | Pretrain Loss: 67502.3277 | Regression Loss: 19658.2445 | Ranking Loss: 47844.0825 | Regression IC50 Loss: 45517.3081 | Regression K Loss: 20010.1733 | Ranking IC50 Loss: 35418.7773 | Ranking K Loss: 12425.3052 | Lr: 0.0010 | Time: 963.0494
Wed 12 Apr 2023 07:54:15 INFO Epoch: 23 | Pretrain Loss: 65556.8071 | Regression Loss: 18202.7586 | Ranking Loss: 47354.0478 | Regression IC50 Loss: 42677.6200 | Regression K Loss: 17998.2418 | Ranking IC50 Loss: 35119.4091 | Ranking K Loss: 12234.6387 | Lr: 0.0010 | Time: 963.7596
Wed 12 Apr 2023 08:10:20 INFO Epoch: 24 | Pretrain Loss: 65250.9812 | Regression Loss: 18294.4819 | Ranking Loss: 46956.4986 | Regression IC50 Loss: 42233.3667 | Regression K Loss: 18748.2395 | Ranking IC50 Loss: 34866.6618 | Ranking K Loss: 12089.8368 | Lr: 0.0010 | Time: 964.7863
Wed 12 Apr 2023 08:26:50 INFO Epoch: 25 | Pretrain Loss: 65019.1575 | Regression Loss: 18227.2535 | Ranking Loss: 46791.9033 | Regression IC50 Loss: 41806.6518 | Regression K Loss: 18950.8599 | Ranking IC50 Loss: 34737.6152 | Ranking K Loss: 12054.2881 | Lr: 0.0010 | Time: 990.0538
Wed 12 Apr 2023 08:43:03 INFO Epoch: 26 | Pretrain Loss: 64395.0453 | Regression Loss: 17441.6198 | Ranking Loss: 46953.4247 | Regression IC50 Loss: 40596.9520 | Regression K Loss: 17541.7808 | Ranking IC50 Loss: 34711.4408 | Ranking K Loss: 12241.9840 | Lr: 0.0010 | Time: 973.0598
Wed 12 Apr 2023 08:58:51 INFO Epoch: 27 | Pretrain Loss: 64142.4229 | Regression Loss: 17401.0147 | Ranking Loss: 46741.4074 | Regression IC50 Loss: 40643.8016 | Regression K Loss: 17359.5808 | Ranking IC50 Loss: 34724.8752 | Ranking K Loss: 12016.5322 | Lr: 0.0010 | Time: 947.9251
Wed 12 Apr 2023 09:15:07 INFO Epoch: 28 | Pretrain Loss: 63800.9599 | Regression Loss: 17395.9636 | Ranking Loss: 46404.9956 | Regression IC50 Loss: 40362.6166 | Regression K Loss: 17623.9288 | Ranking IC50 Loss: 34387.9242 | Ranking K Loss: 12017.0714 | Lr: 0.0010 | Time: 974.9963
Wed 12 Apr 2023 09:31:37 INFO Epoch: 29 | Pretrain Loss: 63525.7611 | Regression Loss: 17107.6748 | Ranking Loss: 46418.0857 | Regression IC50 Loss: 40454.5217 | Regression K Loss: 16571.0609 | Ranking IC50 Loss: 34438.1483 | Ranking K Loss: 11979.9374 | Lr: 0.0010 | Time: 990.4776
Wed 12 Apr 2023 09:49:57 INFO Epoch: 30 | Pretrain Loss: 63000.4856 | Regression Loss: 16971.4496 | Ranking Loss: 46029.0354 | Regression IC50 Loss: 39345.9097 | Regression K Loss: 17225.5889 | Ranking IC50 Loss: 34141.6162 | Ranking K Loss: 11887.4191 | Lr: 0.0010 | Time: 1099.8962
Wed 12 Apr 2023 10:06:28 INFO Epoch: 31 | Pretrain Loss: 63056.8875 | Regression Loss: 16896.3873 | Ranking Loss: 46160.4995 | Regression IC50 Loss: 39366.0645 | Regression K Loss: 16955.2265 | Ranking IC50 Loss: 34141.9351 | Ranking K Loss: 12018.5645 | Lr: 0.0010 | Time: 990.3077
Wed 12 Apr 2023 10:21:40 INFO Epoch: 32 | Pretrain Loss: 62787.5558 | Regression Loss: 16884.9036 | Ranking Loss: 45902.6515 | Regression IC50 Loss: 38657.4867 | Regression K Loss: 17625.5253 | Ranking IC50 Loss: 33910.3128 | Ranking K Loss: 11992.3387 | Lr: 0.0010 | Time: 912.3040
Wed 12 Apr 2023 10:37:05 INFO Epoch: 33 | Pretrain Loss: 62296.5219 | Regression Loss: 16648.3812 | Ranking Loss: 45648.1401 | Regression IC50 Loss: 38627.2106 | Regression K Loss: 16867.3933 | Ranking IC50 Loss: 33722.1038 | Ranking K Loss: 11926.0363 | Lr: 0.0010 | Time: 924.7629
